hermes data proton and deuteron
z < 1.0
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 e0	 e1
1.25	 0.20	 0.25	 30	 1.04	 9.18E-01	 2.58E-01	 2.9E-02	 9.9E-03
1.25	 0.20	 0.30	 33	 1.44	 9.75E-01	 2.44E-01	 2.6E-02	 1.0E-02
1.25	 0.20	 0.35	 62	 7.48	 9.12E-01	 2.69E-01	 1.8E-02	 5.5E-03
1.25	 0.20	 0.40	 65	 8.12	 9.71E-01	 2.59E-01	 1.7E-02	 5.6E-03
1.25	 0.20	 0.45	 94	 17.07	 9.55E-01	 3.01E-01	 1.6E-02	 4.6E-03
1.25	 0.20	 0.55	 116	 18.29	 1.11E+00	 2.80E-01	 1.5E-02	 4.9E-03
1.25	 0.20	 0.60	 126	 26.75	 1.11E+00	 3.38E-01	 1.7E-02	 4.8E-03
1.25	 0.20	 0.70	 134	 30.74	 1.39E+00	 2.85E-01	 1.7E-02	 5.7E-03
1.25	 0.20	 0.75	 151	 28.69	 1.45E+00	 2.92E-01	 1.7E-02	 6.2E-03
1.25	 0.20	 0.80	 158	 29.95	 1.41E+00	 3.36E-01	 1.8E-02	 5.8E-03
1.25	 0.20	 0.95	 160	 37.51	 1.75E+00	 2.49E-01	 1.8E-02	 8.0E-03
1.25	 0.20	 1.00	 178	 50.52	 8.34E-07	 5.29E-01	 5.7E-02	 1.9E-03
1.25	 0.20	 1.05	 185	 52.16	 1.58E+00	 2.54E-01	 1.4E-02	 6.6E-03
1.25	 0.20	 1.10	 188	 52.31	 1.59E+00	 2.65E-01	 1.4E-02	 6.6E-03
1.25	 0.20	 1.20	 189	 52.11	 1.58E+00	 2.65E-01	 1.4E-02	 6.6E-03
1.25	 0.20	 1.40	 190	 51.87	 1.58E+00	 2.65E-01	 1.4E-02	 6.6E-03

1.51	 0.20	 0.25	 32	 3.20	 6.16E-01	 3.72E-01	 2.2E-02	 5.8E-03
1.51	 0.20	 0.30	 34	 3.04	 6.20E-01	 3.72E-01	 2.1E-02	 5.7E-03
1.51	 0.20	 0.35	 64	 3.18	 6.57E-01	 3.53E-01	 1.8E-02	 4.8E-03
1.51	 0.20	 0.40	 70	 3.30	 6.87E-01	 3.47E-01	 1.7E-02	 4.8E-03
1.51	 0.20	 0.45	 96	 4.35	 6.67E-01	 3.55E-01	 1.6E-02	 4.2E-03
1.51	 0.20	 0.55	 124	 7.74	 7.08E-01	 3.72E-01	 1.6E-02	 3.7E-03
1.51	 0.20	 0.60	 128	 7.67	 6.98E-01	 3.76E-01	 1.5E-02	 3.6E-03
1.51	 0.20	 0.70	 147	 13.71	 9.34E-01	 3.42E-01	 1.7E-02	 4.4E-03
1.51	 0.20	 0.75	 157	 14.12	 8.93E-01	 3.72E-01	 1.9E-02	 4.1E-03
1.51	 0.20	 0.80	 160	 14.18	 8.67E-01	 3.80E-01	 1.9E-02	 4.0E-03
1.51	 0.20	 0.95	 173	 16.33	 1.32E-01	 4.71E-01	 2.1E-02	 2.2E-03
1.51	 0.20	 1.00	 188	 15.58	 -1.22E-01	 4.75E-01	 2.1E-02	 1.6E-03
1.51	 0.20	 1.05	 191	 15.40	 -1.11E-01	 4.77E-01	 2.2E-02	 1.6E-03
1.51	 0.20	 1.25	 192	 15.34	 -1.10E-01	 4.77E-01	 2.2E-02	 1.6E-03

1.82	 0.20	 0.25	 31	 9.22	 5.32E-07	 4.42E-01	 9.7E-02	 3.0E-03
1.82	 0.20	 0.30	 34	 8.43	 -5.25E-06	 4.42E-01	 8.8E-02	 3.0E-03
1.82	 0.20	 0.35	 63	 6.30	 1.94E-01	 4.27E-01	 4.0E-02	 4.1E-03
1.82	 0.20	 0.40	 76	 5.62	 2.16E-01	 4.25E-01	 3.6E-02	 4.0E-03
1.82	 0.20	 0.45	 95	 4.65	 2.25E-01	 4.24E-01	 3.5E-02	 4.0E-03
1.82	 0.20	 0.55	 127	 4.45	 2.63E-01	 4.19E-01	 3.3E-02	 3.9E-03
1.82	 0.20	 0.70	 156	 7.59	 3.33E-01	 4.20E-01	 1.8E-02	 2.6E-03
1.82	 0.20	 0.75	 159	 7.55	 3.52E-01	 4.16E-01	 1.7E-02	 2.5E-03
1.82	 0.20	 0.90	 160	 7.69	 3.73E-01	 4.12E-01	 1.7E-02	 2.5E-03
1.82	 0.20	 0.95	 185	 9.46	 4.01E-01	 4.17E-01	 7.3E-03	 1.6E-03
1.82	 0.20	 1.00	 191	 9.32	 3.95E-01	 4.19E-01	 7.3E-03	 1.5E-03

2.88	 0.20	 0.25	 31	 7.72	 1.41E-06	 4.60E-01	 6.1E-02	 3.2E-03
2.88	 0.20	 0.30	 40	 6.75	 -7.14E-07	 4.57E-01	 4.7E-02	 3.1E-03
2.88	 0.20	 0.35	 63	 5.09	 1.62E-06	 4.55E-01	 6.6E-02	 2.7E-03
2.88	 0.20	 0.40	 93	 3.92	 -1.38E-06	 4.54E-01	 6.1E-02	 2.6E-03
2.88	 0.20	 0.45	 95	 3.84	 6.98E-07	 4.54E-01	 6.1E-02	 2.6E-03
2.88	 0.20	 0.55	 127	 4.88	 -1.84E-01	 4.40E-01	 4.8E-02	 5.0E-03
2.88	 0.20	 0.70	 159	 6.99	 5.82E-01	 3.70E-01	 1.5E-02	 2.7E-03
2.88	 0.20	 0.90	 163	 6.89	 5.95E-01	 3.67E-01	 1.4E-02	 2.5E-03
2.88	 0.20	 0.95	 191	 9.64	 4.54E-01	 3.90E-01	 6.6E-03	 1.5E-03

5.23	 0.20	 0.25	 32	 2.66	 2.42E-01	 4.53E-01	 7.5E-02	 8.5E-03
5.23	 0.20	 0.30	 42	 2.16	 2.89E-01	 4.45E-01	 6.0E-02	 7.4E-03
5.23	 0.20	 0.35	 64	 2.41	 1.83E-01	 4.53E-01	 7.3E-02	 6.5E-03
5.23	 0.20	 0.40	 92	 2.31	 1.23E-01	 4.55E-01	 9.5E-02	 6.0E-03
5.23	 0.20	 0.45	 96	 2.35	 1.12E-01	 4.56E-01	 1.0E-01	 5.9E-03
5.23	 0.20	 0.55	 128	 3.19	 2.82E-01	 4.42E-01	 4.0E-02	 6.0E-03
5.23	 0.20	 0.70	 160	 4.29	 5.87E-01	 3.80E-01	 1.7E-02	 3.6E-03
5.23	 0.20	 0.90	 165	 4.22	 5.98E-01	 3.76E-01	 1.6E-02	 3.3E-03
5.23	 0.20	 0.95	 190	 5.26	 5.17E-01	 3.91E-01	 9.7E-03	 2.3E-03
5.23	 0.20	 1.00	 192	 5.21	 5.17E-01	 3.91E-01	 9.7E-03	 2.3E-03

9.21	 0.20	 0.25	 30	 0.57	 4.02E-01	 4.27E-01	 1.1E-01	 1.5E-02
9.21	 0.20	 0.30	 41	 0.51	 4.03E-01	 4.24E-01	 1.0E-01	 1.4E-02
9.21	 0.20	 0.35	 62	 0.80	 3.56E-01	 4.20E-01	 8.9E-02	 1.2E-02
9.21	 0.20	 0.40	 84	 0.95	 3.37E-01	 4.20E-01	 9.0E-02	 1.1E-02
9.21	 0.20	 0.45	 94	 0.99	 3.18E-01	 4.21E-01	 8.9E-02	 1.1E-02
9.21	 0.20	 0.55	 126	 1.36	 4.23E-01	 4.09E-01	 6.3E-02	 1.0E-02
9.21	 0.20	 0.70	 158	 1.57	 6.31E-01	 3.71E-01	 3.7E-02	 6.7E-03
9.21	 0.20	 0.85	 159	 1.56	 6.32E-01	 3.71E-01	 3.7E-02	 6.7E-03
9.21	 0.20	 0.90	 169	 1.63	 5.58E-01	 3.76E-01	 2.8E-02	 5.5E-03
9.21	 0.20	 0.95	 187	 1.61	 6.01E-01	 3.72E-01	 2.3E-02	 5.1E-03

